Division,Team,BBMI_Rank,BBMI_Score,Record,Q_Wins,HCA,Best_Win_Rank,RAW_Points_Scored,RAW_Points_Against,RAW_Point_Difference,RAW_Field_Goal_Percentage,RAW_Three_Point_Percentage,RAW_Effective_Field_Goal_Percentage,RAW_Free_Throw_Percentage,RAW_Offensive_Rebounds_Per_Game,RAW_Defensive_Rebounds_Per_Game,RAW_Rebounds_Per_Game,RAW_Assists_Per_Game,RAW_Steals_Per_Game,RAW_Blocks_Per_Game,RAW_Charges_Taken_Per_Game,RAW_Turnovers_Per_Game,RAW_Q_Wins,RANK_Points_Scored,RANK_Points_Against,RANK_Point_Difference,RANK_Field_Goal_Percentage,RANK_Three_Point_Percentage,RANK_Effective_Field_Goal_Percentage,RANK_Free_Throw_Percentage,RANK_Offensive_Rebounds_Per_Game,RANK_Defensive_Rebounds_Per_Game,RANK_Rebounds_Per_Game,RANK_Assists_Per_Game,RANK_Steals_Per_Game,RANK_Blocks_Per_Game,RANK_Charges_Taken_Per_Game,RANK_Turnovers_Per_Game,RANK_Q_Wins,WTRANK_Points_Scored,WTRANK_Points_Against,WTRANK_Point_Difference,WTRANK_Field_Goal_Percentage,WTRANK_Three_Point_Percentage,WTRANK_Effective_Field_Goal_Percentage,WTRANK_Free_Throw_Percentage,WTRANK_Offensive_Rebounds_Per_Game,WTRANK_Defensive_Rebounds_Per_Game,WTRANK_Rebounds_Per_Game,WTRANK_Assists_Per_Game,WTRANK_Steals_Per_Game,WTRANK_Blocks_Per_Game,WTRANK_Charges_Taken_Per_Game,WTRANK_Turnovers_Per_Game,WTRANK_Q_Wins,WTRANK_TOTAL
5,Blair-Taylor,60,25.9281,14-12,-29.4,-1.607,50,64.5,64.3,0.2,0.429,0.295,0.475,0.651,11.03,27.3,27.3,10.2,7.3,2.0,0.0,14.2294,-29.4,35.222,18.786,27.689,30.651,28.172,30.099,37.782,27.397,32.71,20.696,21.958,22.158,25.0,1.0,28.754,27.107,0.0,2.0477,3.9873,1.318,0.8733,0.1505,0.0,0.0,0.0,1.4073,0.2635,0.9528,0.125,0.0,2.8754,11.9273,25.9281
5,Shullsburg,61,25.5244,10-15,-36.72,-0.444,62,58.4,64.1,-5.8,0.377,0.256,0.419,0.583,18.0,34.0,52.0,14.2,9.2,2.4,0.0,16.5,-36.72,28.444,19.035,24.003,20.698,19.923,20.522,25.0,45.361,40.537,44.526,30.916,27.632,28.704,1.0,23.074,25.784,0.0,2.0748,3.4564,0.89,0.6176,0.1026,0.0,0.0,0.0,3.0277,0.371,1.1882,0.1435,0.0,2.3074,11.3451,25.5243
5,Argyle,62,25.4152,10-15,-30.8,-0.708,18,54.6,60.0,-5.4,0.3806,0.269,0.4285,0.5774,10.1958,20.5292,30.725,10.2333,9.0682,1.9182,0.0,15.905,-30.8,24.236,24.134,24.252,21.513,22.923,22.224,24.266,25.247,24.661,25.114,22.07,27.285,23.598,1.0,24.657,26.854,0.0,2.6306,3.4923,0.9251,0.7106,0.1111,0.0,0.0,0.0,1.7078,0.2648,1.1732,0.118,0.0,2.4657,11.8159,25.4151
5,Saint Thomas Aquinas,63,24.7186,11-12,-44.34,-0.704,42,56.6,59.6,-3.0,0.352,0.251,0.398,0.628,10.2,18.9,29.1,7.9,15.0,2.5,0.0,15.2,-44.34,26.444,24.632,25.733,15.038,18.769,16.761,33.459,25.258,21.43,23.043,14.183,42.895,29.63,1.0,26.471,24.179,0.0,2.6849,3.7056,0.6466,0.5818,0.0838,0.0,0.0,0.0,1.567,0.1702,1.8445,0.1481,0.0,2.6471,10.639,24.7186
5,La Farge,64,24.4158,5-19,-36.34,-0.616,77,50.8,61.1,-10.3,0.394,0.264,0.43,0.562,10.3,25.9,36.1,13.4,10.8,2.0,0.0,18.5,-36.34,20.091,22.766,21.197,24.547,21.769,22.493,22.246,25.515,31.075,30.018,29.389,31.842,25.0,1.0,17.755,25.853,0.0,2.4815,3.0524,1.0555,0.6748,0.1125,0.0,0.0,0.0,2.0412,0.3527,1.3692,0.125,0.0,1.7755,11.3754,24.4157
5,Pacelli,65,24.334,13-13,-33.58,-0.206,52,46.3,54.8,-8.5,0.342,0.242,0.395,0.552,8.0,16.0,24.0,9.1,8.9,1.3,0.0,15.5,-33.58,15.182,29.828,22.319,12.774,16.692,16.224,20.934,17.125,15.678,16.391,18.239,26.842,13.0,1.0,25.734,26.352,0.0,3.2512,3.214,0.5493,0.5175,0.0811,0.0,0.0,0.0,1.1146,0.2189,1.1542,0.065,0.0,2.5734,11.5949,24.3341
5,Wonewoc Center,66,24.26,12-14,-41.06,-2.221,54,58.8,61.9,-3.1,0.338,0.246,0.375,0.486,15.9,23.9,39.8,10.1,11.3,2.6,0.0,17.8,-41.06,28.889,21.771,25.672,11.868,17.615,12.642,12.279,39.948,28.738,33.394,21.62,33.158,30.556,1.0,19.617,25.0,0.0,2.3731,3.6968,0.5103,0.5461,0.0632,0.0,0.0,0.0,2.2708,0.2594,1.4258,0.1528,0.0,1.9617,11.0,24.26
5,Boscobel,67,24.2462,9-17,-28.52,-1.266,51,44.7,57.1,-12.4,0.406,0.254,0.444,0.489,9.0,21.3,30.3,9.5,6.7,4.2,0.0,19.5,-28.52,13.436,27.448,19.888,26.712,19.462,25.0,12.672,20.875,25.701,24.609,19.592,20.263,45.37,1.0,15.096,27.266,0.0,2.9919,2.8639,1.1486,0.6033,0.125,0.0,0.0,0.0,1.6734,0.2351,0.8713,0.2269,0.0,1.5096,11.9973,24.2463
5,Albany,68,24.0841,8-17,-56.48,-1.267,57,46.0,50.9,-4.8,0.3827,0.2701,0.4313,0.5839,10.2864,20.7913,30.6348,10.1304,9.081,2.0571,0.0,15.7706,-56.48,14.855,33.862,24.626,21.989,23.177,22.725,25.169,25.48,25.107,25.032,21.722,27.318,25.529,1.0,25.014,21.143,0.0,3.691,3.5461,0.9455,0.7185,0.1136,0.0,0.0,0.0,1.7022,0.2607,1.1747,0.1276,0.0,2.5014,9.3027,24.084
5,Bayfield,69,24.0841,10-15,-47.76,-1.363,89,56.9,57.7,-0.8,0.4017,0.2883,0.4522,0.5826,11.3238,22.4909,33.3091,11.1136,9.0909,2.1364,0.0,15.3444,-47.76,26.778,26.828,27.078,25.976,26.922,26.349,24.948,28.154,27.092,27.472,25.026,27.344,26.263,1.0,26.131,23.324,0.0,2.9242,3.8993,1.117,0.8346,0.1317,0.0,0.0,0.0,1.8681,0.3003,1.1758,0.1313,0.0,2.6131,10.2625,25.2579
