team,model_rank,kenpom_rank,net_ranking,last_ten,record,conference,pointMargin,turnoversForced,reboundsPerGame,pointsPerGame,fieldGoalPct,threePointPct,assistsPerGame,strengthOfSchedule,qualityWins,opponentFieldGoalPct,opponentThreePointPct
Cornell,99,149,147,5-5,12-11,Ivy,6,10.8,31.6,85.6,0.499,0.4,20.5,188,162,0.477,0.378
Boston College,289,150,152,2-8,9-16,ACC,-2,10.3,35.4,70.4,0.409,0.297,11.6,91,227,0.424,0.31
Loyola Marymount,216,151,171,2-8,13-15,WCC,2.3999999999999915,11.7,31.9,75.3,0.459,0.349,13.3,123,227,0.42,0.332
Oakland,154,152,154,5-5,14-13,Horz,0.7000000000000028,10.9,30.7,79.7,0.473,0.344,15,116,171,0.471,0.334
Rutgers,250,153,155,2-8,10-15,B10,-5.900000000000006,10.9,33.6,73.1,0.41,0.32,11.6,34,95,0.452,0.369
Saint Joseph's,146,154,158,7-3,15-10,A10,2.200000000000003,10.6,37.2,74,0.426,0.304,15.7,143,137,0.414,0.325
UC Davis,149,155,166,7-3,16-10,BW,3.5,13.9,29.7,75.3,0.453,0.36,15.4,184,220,0.447,0.34
Navy,59,156,150,9-1,21-6,PL,10.599999999999994,12.8,36.9,78.6,0.475,0.349,16.9,364,117,0.406,0.292
Cal State Northridge,183,157,174,7-3,16-10,BW,2.6000000000000085,11.1,33.7,72.9,0.459,0.344,15.5,163,195,0.422,0.337
Valparaiso,201,158,162,6-4,14-13,MVC,0.4000000000000057,11.5,34.6,73.9,0.419,0.328,11.7,128,160,0.441,0.313
Toledo,131,159,170,4-6,13-13,MAC,3.0999999999999943,12.3,30.3,79.6,0.477,0.356,15.3,162,166,0.471,0.351
Fordham,158,160,181,5-5,14-12,A10,5.900000000000006,12,39.8,74.9,0.444,0.292,15.5,229,102,0.418,0.34
Temple,152,161,163,5-5,15-10,Amer,4.299999999999997,10.1,31.7,76,0.444,0.344,13.3,231,193,0.439,0.314
Merrimack College,153,162,185,8-2,18-9,MAAC,1.7999999999999972,12.7,27.5,73.5,0.421,0.323,13.1,267,133,0.415,0.29
Central Arkansas,135,163,180,6-4,17-10,ASun,6.200000000000003,13.3,33.1,78.7,0.453,0.341,16.2,304,127,0.443,0.339
